,country_name,regional_indicator,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
61,Lebanon,Middle East and North Africa,2022,2.352427721,9.428472519,0.534528434,66.22499847,0.449575424,-0.125513852,0.882995963,0.297508448,0.429902762
62,Liberia,Sub-Saharan Africa,2022,4.04226017,7.276751995,0.596891046,56.70000076,0.731640577,0.154321343,0.828494132,0.636873662,0.438816667
63,Lithuania,Central and Eastern Europe,2022,7.037577152,10.60183716,0.937096536,67.75,0.709662259,-0.190841839,0.684991181,0.471465677,0.131619066
64,Luxembourg,Western Europe,2022,7.227934837,11.6599493,0.877916992,71.67500305,0.915109932,0.023949623,0.345176458,0.718450427,0.218083575
65,Madagascar,Sub-Saharan Africa,2022,4.019134045,7.29020977,0.642429352,58.04999924,0.523492694,0.07543768,0.740402877,0.686895013,0.345107347
66,Malawi,Sub-Saharan Africa,2022,3.355563402,7.295767784,0.503325164,58.75,0.743571639,0.020473713,0.754926443,0.535636544,0.328764439
67,Mali,Sub-Saharan Africa,2022,4.210547924,7.645281792,0.641625226,55.79999924,0.817642868,-0.019203309,0.745646715,0.655434608,0.407665402
68,Malta,Western Europe,2022,6.299238205,9.52308705551852,0.932082772,71.65000153,0.837544084,0.028539050935185186,0.757539809,0.671103597,0.370075017
69,Mauritania,Sub-Saharan Africa,2022,4.723868847,8.590913773,0.647975624,60.47499847,0.624028981,-0.012799613,0.65709281,0.630584061,0.38927421
70,Mauritius,Sub-Saharan Africa,2022,5.740500927,10.00689125,0.887036204,63.82500076,0.798143804,-0.037532523,0.768953621,0.724696159,0.168250337
71,Mexico,Latin America and Caribbean,2022,7.038368702,9.876176834,0.858360887,65.80000305,0.860889137,-0.120741829,0.780077338,0.817899823,0.205048665
72,Moldova,Commonwealth of Independent States,2022,5.686611652,9.540007591,0.816732645,65.69999695,0.828515828,-0.087219432,0.884788811,0.552044451,0.275563359
73,Mongolia,East Asia,2022,5.787830353,9.388139725,0.951336026,60.59999847,0.717059672,0.213851795,0.846957803,0.550038636,0.208651647
74,Morocco,Middle East and North Africa,2022,4.596093178,8.995898247,0.563577652,64.0,0.794705212,-0.25410822,0.802137673,0.57286942,0.414216459
75,Mozambique,Sub-Saharan Africa,2022,4.739677429,7.120275497,0.710699916,51.75,0.884088099,0.047219496,0.687821686,0.628598392,0.350687921
76,Namibia,Sub-Saharan Africa,2022,4.948962688,9.131615639,0.807958961,57.22499847,0.6825279,-0.119649537,0.848729193,0.675756395,0.261423469
77,Nepal,South Asia,2022,5.47417593,8.28515625,0.753276348,62.125,0.844221771,0.153193608,0.760407746,0.472944528,0.341525853
78,Netherlands,Western Europe,2022,7.38963604,10.980937,0.928908408,71.625,0.868093491,0.224343896,0.459351808,0.711127639,0.198002592
79,New Zealand,North America and ANZ,2022,6.974986553,10.68169308,0.955588818,70.42500305,0.830677867,0.1867235,0.280524433,0.706345737,0.210213482
80,Nicaragua,Latin America and Caribbean,2022,6.39225769,8.664050102,0.844041824,65.72499847,0.913993657,-0.001197587,0.570191979,0.787344217,0.338743955
81,Niger,Sub-Saharan Africa,2022,4.501331329,7.090983391,0.586930454,56.54999924,0.792574704,0.032293987,0.740086973,0.786504447,0.366278619
82,North Macedonia,Central and Eastern Europe,2022,5.166881561,9.73342514,0.849509358,66.69999695,0.72308898,0.071886517,0.93721509,0.554965317,0.277090907
83,Norway,Western Europe,2022,7.294604301,11.1112957,0.92657131,71.55000305,0.939022839,0.184594572,0.314442098,0.758709848,0.211092442
84,Panama,Latin America and Caribbean,2022,5.979382038,10.33345413,0.891045928,69.0,0.89932853,-0.120660797,0.886835337,0.820656359,0.259239286
85,Paraguay,Latin America and Caribbean,2022,6.137611866,9.508264542,0.89949137,65.94999695,0.921780527,-0.011156131,0.839272022,0.820756733,0.237517416
86,Peru,Latin America and Caribbean,2022,5.892068863,9.448805809,0.822743475,70.02500153,0.764267087,-0.177565202,0.88399142,0.755063951,0.378050268
87,Poland,Central and Eastern Europe,2022,6.666265011,10.50880241,0.886446774,69.22499847,0.800018609,-0.206587344,0.667024732,0.593892157,0.140165836
88,Portugal,Western Europe,2022,5.952542782,10.48707771,0.862344146,71.375,0.903218091,-0.137060419,0.892955482,0.638484597,0.316203803
89,Romania,Central and Eastern Europe,2022,6.436973572,10.40412903,0.83033675,67.17500305,0.836366534,-0.171969727,0.941487908,0.615097582,0.258411855
90,Russia,Commonwealth of Independent States,2022,6.044072628,10.20286655,0.919851005,65.32499695,0.776063859,-0.07043764,0.766522646,0.61367172,0.211204171
91,Saudi Arabia,Middle East and North Africa,2022,6.381610394,10.78055954,0.900104523,64.59999847,0.7904471125309734,-0.027261315,0.7208520018648649,0.67745918,0.204955861
92,Senegal,Sub-Saharan Africa,2022,4.90681982,8.180175781,0.609188676,60.29999924,0.758471966,0.051875819,0.854231179,0.812712252,0.286798924
93,Sierra Leone,Sub-Saharan Africa,2022,2.560429573,7.401130676,0.502167702,55.29999924,0.659596384,0.10053613,0.861837387,0.493700534,0.504606605
94,Slovenia,Central and Eastern Europe,2022,6.723397732,10.64416504,0.941756725,71.22499847,0.930381835,0.101480678,0.762208223,0.62466681,0.241570964
95,South Korea,East Asia,2022,5.950013638,10.72598648,0.81003511,73.92500305,0.723479927,0.00342142,0.747344434,0.584980786,0.232855499
96,Spain,Western Europe,2022,6.336902142,10.58749199,0.933899879,72.47499847,0.781408846,0.00120831,0.673111916,0.635929227,0.319961518
98,Sweden,Western Europe,2022,7.431214333,10.91266155,0.949338436,72.27500153,0.939461946,0.234011218,0.213236347,0.750373483,0.163275763
99,Switzerland,Western Europe,2022,6.883844376,11.18412018,0.880787432,73.09999847,0.848361075,0.128131226,0.234620094,0.710059524,0.179944366
100,Taiwan Province of China,East Asia,2022,6.607147217,9.52308705551852,0.882819533,65.28671171846847,0.800191641,0.028539050935185186,0.657555938,0.716586888,0.095398523
101,Tanzania,Sub-Saharan Africa,2022,3.615845203,7.871555328,0.600180984,59.84999847,0.856139898,0.136041611,0.584417045,0.707061291,0.195128813
102,Thailand,Southeast Asia,2022,6.007117271,9.777226448,0.866995156,68.52500153,0.880613744,0.301083535,0.867953539,0.773228884,0.218288258
103,Togo,Sub-Saharan Africa,2022,4.238982201,7.685194492,0.57893008,57.70000076,0.695722461,0.006935479,0.713181138,0.593969762,0.41426459
104,Tunisia,Middle East and North Africa,2022,4.260868073,9.265902519,0.754739821,67.05000305,0.474189252,-0.230852157,0.908436537,0.458278269,0.303687036
105,Ukraine,Commonwealth of Independent States,2022,4.63743639,9.049329758,0.863068104,64.67500305,0.829034388,0.427582234,0.851863027,0.526714623,0.389885187
106,United Arab Emirates,Middle East and North Africa,2022,6.737605572,11.20181751,0.797737062,66.44999695,0.93229568,0.170801714,0.7208520018648649,0.715105414,0.241539121
107,United Kingdom,Western Europe,2022,6.721779823,10.75374222,0.8634395,70.40000153,0.857062578,0.309394181,0.426054806,0.722764194,0.270162135
108,United States,North America and ANZ,2022,6.692790031,11.07859612,0.900261819,65.72499847,0.735639811,0.190581053,0.701127529,0.711595833,0.267307669
109,Uruguay,Latin America and Caribbean,2022,6.670852661,10.08412075,0.904825211,67.5,0.877968609,-0.051668242,0.631336689,0.774694264,0.267484903
110,Uzbekistan,Commonwealth of Independent States,2022,6.016238689,8.989866257,0.878923297,65.59999847,0.959019244,0.308950752,0.615844429,0.741081834,0.224579901
111,Venezuela,Latin America and Caribbean,2022,5.948992252,9.52308705551852,0.899366319,63.875,0.770416737,0.028539050935185186,0.798016429,0.754336953,0.292252004
112,Vietnam,Southeast Asia,2022,6.266508579,9.332854271,0.878744006,65.59999847,0.975405157,-0.178986996,0.703422904,0.774236381,0.10847342
113,Zimbabwe,Sub-Saharan Africa,2022,3.296219587,7.670122623,0.666171908,54.52500153,0.651987135,-0.069513284,0.752632082,0.640609264,0.191350296
